settled_at,adapter,ticker,metal,side,count,fill_price,fee,fair_at_entry,result,pnl,tag,cash_after
2026-09-14T09:46:01Z,shadow,KXDOGE15M-26SEP140545-45,doge,yes,10,0.82,0.11,0.82,yes,1.69,crypto_fav,254.01
2026-09-14T10:01:02Z,shadow,KXNEAR15M-26SEP140600-00,near,yes,13,0.75,0.18,0.75,yes,3.07,crypto_fav,238.58
2026-09-14T10:01:02Z,shadow,KXDOGE15M-26SEP140600-00,doge,yes,12,0.79,0.14,0.79,yes,2.38,crypto_fav,250.58
2026-09-14T10:01:02Z,shadow,KXXRP15M-26SEP140600-00,xrp,yes,10,0.88,0.08,0.88,yes,1.12,crypto_fav,260.58
2026-09-14T10:16:00Z,shadow,KXXRP15M-26SEP140615-15,xrp,yes,13,0.78,0.16,0.78,no,-10.3,crypto_fav,231.19
2026-09-14T10:16:00Z,shadow,KXNEAR15M-26SEP140615-15,near,no,13,0.75,0.18,0.25,no,3.07,crypto_fav,244.19
2026-09-14T10:16:00Z,shadow,KXDOGE15M-26SEP140615-15,doge,yes,12,0.75,0.16,0.75,no,-9.16,crypto_fav,244.19
2026-09-14T10:31:00Z,shadow,KXXRP15M-26SEP140630-30,xrp,no,12,0.75,0.16,0.25,no,2.84,crypto_fav,229.36
2026-09-14T10:31:01Z,shadow,KXDOGE15M-26SEP140630-30,doge,no,12,0.75,0.16,0.25,no,2.84,crypto_fav,241.36
2026-09-14T10:31:01Z,shadow,KXNEAR15M-26SEP140630-30,near,no,11,0.76,0.15,0.24,no,2.49,crypto_fav,252.36
2026-09-14T10:46:00Z,shadow,KXNEAR15M-26SEP140645-45,near,yes,13,0.76,0.17,0.76,yes,2.95,crypto_fav,236.99
2026-09-14T10:46:00Z,shadow,KXXRP15M-26SEP140645-45,xrp,yes,12,0.77,0.15,0.77,yes,2.61,crypto_fav,248.99
2026-09-14T10:46:00Z,shadow,KXDOGE15M-26SEP140645-45,doge,yes,11,0.8,0.13,0.8,yes,2.07,crypto_fav,259.99
2026-09-14T11:01:00Z,shadow,KXNEAR15M-26SEP140700-00,near,no,13,0.77,0.17,0.23,no,2.82,crypto_fav,243.85
2026-09-14T11:01:00Z,shadow,KXXRP15M-26SEP140700-00,xrp,yes,13,0.75,0.18,0.75,no,-9.93,crypto_fav,243.85
2026-09-14T11:01:00Z,shadow,KXDOGE15M-26SEP140700-00,doge,yes,11,0.81,0.12,0.81,no,-9.03,crypto_fav,243.85
2026-09-14T11:16:00Z,shadow,KXDOGE15M-26SEP140715-15,doge,no,12,0.76,0.16,0.24,no,2.72,crypto_fav,229.03
2026-09-14T11:16:00Z,shadow,KXXRP15M-26SEP140715-15,xrp,no,11,0.78,0.14,0.22,no,2.28,crypto_fav,240.03
2026-09-14T11:16:00Z,shadow,KXNEAR15M-26SEP140715-15,near,no,11,0.79,0.13,0.21,no,2.18,crypto_fav,251.03
